index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
420,that,[],{},0,0,4,0.0
421,was,[],{},0,0,3,0.0
422,then,[],{},0,0,4,0.0
423,sparsely,[],{},0,0,8,0.0
424,populated.,[],{},0,0,10,0.0
425,Thus,[],{},0,0,4,0.0
426,most,[],{},0,0,4,0.0
427,assumed,[],{},0,0,7,0.0
428,that,[],{},0,0,4,0.0
429,Los,[],{},0,0,3,0.0
430,"Angeles,",[],{},0,0,8,0.0
431,not,[],{},0,0,3,0.0
432,the,[],{},0,0,3,0.0
433,Bay,[],{},0,0,3,0.0
434,"Area,",[],{},0,0,5,0.0
435,would,[],{},0,0,5,0.0
436,fall,[],{},0,0,4,0.0
437,victim,[],{},0,0,6,0.0
438,to,[],{},0,0,2,0.0
439,the,[],{},0,0,3,0.0
440,next,[],{},0,0,4,0.0
441,seismic,[],{},0,0,7,0.0
442,catastrophe;,[],{},0,0,12,0.0
443,the,[],{},0,0,3,0.0
444,1988,[],{},0,0,4,0.0
445,USGS,[],{},0,0,4,0.0
446,report,[],{},0,0,6,0.0
447,cast,[],{},0,0,4,0.0
448,doubt,[],{},0,0,5,0.0
449,on,[],{},0,0,2,0.0
450,this,[],{},0,0,4,0.0
451,assumption.,[],{},0,0,11,0.0
452,Federal,[],{},0,0,7,0.0
453,emergency,[],{},0,0,9,0.0
454,officials,[],{},0,0,9,0.0
455,have,[],{},0,0,4,0.0
456,estimated,[],{},0,0,9,0.0
457,that,[],{},0,0,4,0.0
458,the,[],{},0,0,3,0.0
459,next,[],{},0,0,4,0.0
460,``big,[],{},0,0,5,0.0
461,one'',[],{},0,0,5,0.0
462,_,[],{},0,0,1,0.0
463,a,[],{},0,0,1,0.0
464,quake,[],{},0,0,5,0.0
465,like,[],{},0,0,4,0.0
466,the,[],{},0,0,3,0.0
467,1906,[],{},0,0,4,0.0
468,San,[],{},0,0,3,0.0
469,Francisco,[],{},0,0,9,0.0
470,quake,[],{},0,0,5,0.0
471,_,[],{},0,0,1,0.0
472,could,[],{},0,0,5,0.0
473,kill,[],{},0,0,4,0.0
474,"3,000",[],{},0,0,5,0.0
475,to,[],{},0,0,2,0.0
476,"14,000",[],{},0,0,6,0.0
477,people,[],{},0,0,6,0.0
478,in,[],{},0,0,2,0.0
479,southern,[],{},0,0,8,0.0
480,"California,",[],{},0,0,11,0.0
481,and,[],{},0,0,3,0.0
482,"3,000",[],{},0,0,5,0.0
483,to,[],{},0,0,2,0.0
484,"11,000",[],{},0,0,6,0.0
485,people,[],{},0,0,6,0.0
486,in,[],{},0,0,2,0.0
487,the,[],{},0,0,3,0.0
488,Bay,[],{},0,0,3,0.0
489,Area.,[],{},0,0,5,0.0
490,As,[],{},0,0,2,0.0
491,bad,[],{},0,0,3,0.0
492,as,[],{},0,0,2,0.0
493,Tuesday's,[],{},0,0,9,0.0
494,quake,[],{},0,0,5,0.0
495,"was,",[],{},0,0,4,0.0
496,``it,[],{},0,0,4,0.0
497,was,[],{},0,0,3,0.0
498,not,[],{},0,0,3,0.0
499,a,[],{},0,0,1,0.0
500,1906,[],{},0,0,4,0.0
501,"earthquake,''",[],{},0,0,13,0.0
